,location,-0.05,-0.1,-0.2,-0.3,-0.4,-0.5,-0.6,-0.7,-0.8,-0.9,-1,d_Sontek,td_Sontek,d_streamPro,td_streamPro
1a,12.65,0.01,0.01,0.01,,,,,,,,,0.068,0.188,0.1,0.29
1b,12.41,0.02,0.01,0,,,,,,,,,0.124,0.244,0.2,0.39
1c,12.17,0.02,0.04,0.01,0.02,,,,,,,,0.404,0.524,0.415,0.605
2,8.56,0.34,0.31,0.29,0.27,0.26,0.2,,,,,,0.452,0.572,0.49,0.68
3,6.19,0.53,0.48,0.43,0.45,0.35,0.26,0.15,,,,,0.388,0.508,0.4775,0.6675
4,3.75,0.41,0.4,0.32,0.28,0.22,0.14,0.03,,,,,0.388,0.508,0.4775,0.6675
4b,0.47,0.03,-0.05,-0.03,-0.02,,,,,,,,0.128,0.248,0.215,0.405
5a,0.24,-0.06,-0.05,-0.02,-0.02,,,,,,,,0.084,0.204,0.19,0.38
5b,0,-0.07,-0.1,-0.04,,,,,,,,,0.048,0.168,0.05,0.24
