,,-0.05,-0.1,-0.2,-0.3,-0.4,-0.5,-0.6,-0.7,-0.8,-0.9,-1,d_Sontek,td_Sontek,d_streamPro,td_streamPro
1a,16.08,0.05,0.06,0.05,,,,,,,,,0.066666667,0.196666667,0.2,0.39
1b,15.69,0.07,0.12,0.1,0.05,,,,,,,,0.075,0.205,0.2,0.39
1c,15.29,0.08,0.07,0.06,0.05,0.03,,,,,,,0.45,0.58,0.52,0.71
2,9.42,0.17,0.14,0.1,0.11,0.13,0.1,0.09,0.09,,,,0.408333333,0.538333333,0.64,0.83
3,7.43,0.29,0.32,0.27,0.22,0.26,0.22,0.19,0.22,,,,0.441666667,0.571666667,0.62,0.81
4,5.41,0.41,0.42,0.37,0.35,0.41,0.37,0.32,0.3,,,,0.441666667,0.571666667,0.62,0.81
4b,1.39,0.17,0.16,0.15,0.17,,,,,,,,0.275,0.405,0.43,0.62
5a,0.7,0.17,0.16,0.13,0.07,,,,,,,,0.175,0.305,0.37,0.56
5b,0,0.11,0.1,0.09,,,,,,,,,0.091666667,0.221666667,0.23,0.42
5c,-0.69,0.12,0.11,,,,,,,,,,0.091666667,0.221666667,0.23,0.42
5d,-1.39,0.07,0.07,,,,,,,,,,0.091666667,0.221666667,0.23,0.42
