,,Left side(m3/s),Top(m3/s),Middle(m3/s),Right side(m3/s)
Mon morning,1,-0.0015833333333333335,0.32925367803539995,0.9494809999999999,8.866014919127462e-05
Mon morning,2,-0.0015833333333333335,0.3297291802451999,0.9494809999999999,0.00018743274907106062
Mon morning,3,-0.0015833333333333335,0.32987513344559993,0.9494809999999999,0.0002848327746637533
Mon morning,4,-0.0015833333333333335,0.32952889003979996,0.9494809999999999,0.00012756933405185615
Mon afternoon,1,-0.0017500000000000003,0.4052487076248001,0.96343428432072,0.0003628919883731512
Mon afternoon,2,-0.0017500000000000003,0.4058476768632001,0.96377370022248,0.0002497818489632529
Mon afternoon,3,-0.0017500000000000003,0.4048960985388001,0.9632344725053199,0.0004947950963762446
Mon afternoon,4,-0.0017500000000000003,0.4059331413960001,0.9638221301243999,0.00023914608156484857
Mon afternoon,5,-0.0017500000000000003,0.4044519629760001,0.9629827956863999,0.0009126117652813646
Tue morning,1,0.0122991875,0.4146129382589999,0.7027229156653674,0.006270086728126042
Tue morning,2,0.0122991875,0.41359874172239997,0.7016502077920678,0.007097368361033773
Tue morning,3,0.0122991875,0.420329154063,0.7087689131393746,0.003784078137862929
Tue morning,4,0.0122991875,0.41475745987259993,0.7028757750640895,0.006167642868291497
Tue morning,5,0.0122991875,0.41699378921459995,0.7052411234022888,0.004922999025114484
Tue morning,6,0.0122991875,0.41824048340099995,0.7065597422508914,0.004425170211574834
Tue afternoon,1,0.009041885416666668,0.33173898512975,0.8084507914058333,0.0030003240830061497
Tue afternoon,2,0.009041885416666668,0.3299065218812,0.8066127642795834,0.002904999999999999
Tue afternoon,3,0.009041885416666668,0.33296829861184996,0.8095683491168333,0.0022380026262702486
Tue afternoon,4,0.009041885416666668,0.3316511986667,0.8083709855303334,0.0030751247018243107
Wed afternoon,1,0.0357425,0.42746406733875,1.0806241282496376,0.009680000000000001
Wed afternoon,2,0.0357425,0.397737437305,1.0202336041421376,0.01511309415583335
Wed afternoon,3,0.0357425,0.42834472446089994,1.0811589402671375,0.009680000000000001
Wed afternoon,4,0.0357425,0.4252169426882,1.0792594776521376,0.009680000000000001
Wed afternoon,5,0.0357425,0.42929940239485,1.0817387041946376,0.009680000000000001
Wed afternoon,6,0.0357425,0.42686461714779994,1.0802600896721375,0.009680000000000001
Thur morning,1,0.022,0.26831475,1.0331894412247,0.0010557092185904996
Thur morning,2,0.022,0.26483312460990005,1.01439714014815,0.003796053116416666
Thur morning,3,0.022,0.26831475,1.0326054232458,0.0011783838266165086
Thur morning,4,0.022,0.26831475,1.0324859259774999,0.001207083668198817
